Sygnatura czasowa,Płeć,Wiek,Ilość porcji kawy pita dziennie:,"Poziom energii (zazwyczaj, najczęściej odczuwany)",Ulubiona kuchnia (spośród wymienionych):,Satysfakcja z życia (ogólna):,Ilość posiadanych zwierząt
2026-06-21 10:10:06,Kobieta,27,3,4 - duży,Włoska,5,0
2026-06-21 10:10:20,Mężczyzna,29,2,3 - średni,Azjatycka,4,3
2026-06-21 10:10:35,Mężczyzna,30,3,4 - duży,Polska,4,1
2026-06-21 10:10:51,Mężczyzna,25,1,4 - duży,Amerykańska,5,0
2026-06-21 10:10:55,Kobieta,23,3,3 - średni,Włoska,4,1
2026-06-21 10:11:20,Mężczyzna,23,,4 - duży,Włoska,4,1
2026-06-21 10:11:30,Mężczyzna,31,3,4 - duży,Amerykańska,5,0
2026-06-21 10:11:47,Mężczyzna,43,3,4 - duży,Włoska,4,0
2026-06-21 10:11:57,Mężczyzna,32,1,3 - średni,Włoska,5,0
2026-06-21 10:12:32,Kobieta,44,2,3 - średni,Azjatycka,3,2
2026-06-21 10:12:36,Mężczyzna,21,3,3 - średni,Włoska,3,2
2026-06-21 10:14:18,Mężczyzna,24,1,3 - średni,Azjatycka,5,2
